x,y,z,timestamp_ms,subject_id,class,timestamp_s
1.1513214,9.187332,-1.5761719,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
1.3644104,8.56485,-0.7334137,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.78500366,8.758774,1.3088379,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.3133545,9.048477,1.2825012,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.054779053,9.354935,-0.58976746,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.624588,8.890457,-0.46287537,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
1.1441345,8.868912,-0.71665955,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
1.1249847,9.108322,-0.36471558,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.9933014,9.122696,-0.30725098,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.6485443,9.165787,-0.5730133,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.3564453,9.225647,-0.74539185,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.045196533,8.902435,-0.58258057,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.07450867,8.806656,-0.2593689,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.018859863,8.976654,-0.24261475,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.005081177,9.024536,-0.28330994,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.057754517,9.091568,-0.12289429,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.10084534,8.991013,-7.93E-04,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.014663696,8.974258,0.16201782,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.24391174,9.105942,0.26974487,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.4426422,9.091568,0.36312866,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.42347717,9.103546,0.47325134,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.10505676,9.21846,0.45410156,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.019439697,9.378876,0.415802,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
0.1864624,9.223251,0.32481384,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.005081177,8.888062,0.80126953,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.10324097,9.007767,0.8802643,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.07929993,9.165787,0.52352905,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.115219116,8.947922,0.20031738,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-0.50546265,8.732437,0.420578,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-1.0345917,8.914398,0.47564697,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-1.5110321,9.053268,0.67437744,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-1.7863617,9.055664,0.5283203,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
-1.9084778,9.077209,0.47325134,1.57E+12,8,WALKING_DOWNSTAIRS,1569847052
