@relation Five_activities_data_with__50_window_size_without_overlapping

@attribute mean_x numeric
@attribute mean_y numeric
@attribute mean_z numeric
@attribute magnitude_mean numeric
@attribute std_x numeric
@attribute std_y numeric
@attribute std_z numeric
@attribute magnitude_std numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute magnitude_rms numeric
@attribute min_x numeric
@attribute min_y numeric
@attribute min_z numeric
@attribute magnitude_min numeric
@attribute max_x numeric
@attribute max_y numeric
@attribute max_z numeric
@attribute magnitude_max numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute magnitude_median numeric
@attribute mad_x numeric
@attribute mad_y numeric
@attribute mad_z numeric
@attribute magnitude_mad numeric
@attribute corr_xy numeric
@attribute corr_yz numeric
@attribute corr_xz numeric
@attribute class {SITTING,STANDING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-4.666256,0.760466,-8.806238,9.995625,0.084256,0.042266,0.078768,0.068269,4.667017,0.76164,8.80659,9.995858,-4.896439,0.623276,-8.976654,9.717796,-4.520538,0.85791,-8.550491,10.198276,-4.659409,0.762146,-8.824623,9.99277,0.066196,0.03258,0.056428,0.041345,0.138745,-0.10946,-0.312104,SITTING
-4.58787,0.741649,-8.85144,9.997473,0.044878,0.015569,0.030515,0.017561,4.588089,0.741813,8.851493,9.997489,-4.676163,0.71666,-8.907227,9.945506,-4.498993,0.771713,-8.770752,10.044911,-4.582794,0.739403,-8.855751,9.996365,0.038905,0.012798,0.025674,0.013165,-0.624521,0.542277,-0.757285,SITTING
-4.584088,0.740978,-8.852014,9.996069,0.012949,0.011345,0.015122,0.013645,4.584106,0.741065,8.852027,9.996078,-4.606735,0.71904,-8.883286,9.966367,-4.542099,0.7789,-8.816238,10.021559,-4.587585,0.740601,-8.854553,9.998461,0.010333,0.008855,0.012318,0.010805,0.066579,-0.062492,-0.188186,SITTING
-4.578244,0.737243,-8.858623,9.998967,0.012406,0.010664,0.013978,0.013505,4.578261,0.73732,8.858634,9.998976,-4.609131,0.714264,-8.897644,9.966156,-4.554062,0.764542,-8.833008,10.035908,-4.576805,0.737007,-8.86174,10.000187,0.00976,0.008619,0.011338,0.01036,0.106409,0.042394,-0.015518,SITTING
-4.574128,0.73595,-8.863985,10.001734,0.009405,0.010083,0.012583,0.013146,4.574137,0.736019,8.863994,10.001742,-4.599548,0.714264,-8.895248,9.97902,-4.558853,0.75975,-8.842575,10.031312,-4.573212,0.735809,-8.864136,9.999611,0.007817,0.008105,0.009917,0.010609,-0.112233,-0.233354,0.258674,SITTING
-4.56795,0.734418,-8.865661,10.000286,0.011894,0.00947,0.012703,0.012371,4.567966,0.734479,8.86567,10.000294,-4.594772,0.711868,-8.897644,9.971392,-4.534912,0.757355,-8.842575,10.028385,-4.568436,0.735809,-8.866516,10.001866,0.00971,0.007384,0.010759,0.010375,-0.025563,-0.323542,-0.074193,SITTING
-4.562252,0.741889,-8.866523,9.999035,0.022105,0.018285,0.017742,0.014342,4.562305,0.742114,8.866541,9.999045,-4.618713,0.690323,-8.897644,9.965612,-4.520538,0.7789,-8.825821,10.026465,-4.563645,0.742996,-8.867714,9.998191,0.018243,0.013926,0.014747,0.011599,0.279188,0.096172,-0.42173,SITTING
-4.538406,0.734227,-8.879357,9.99897,0.01059,0.008192,0.01241,0.011401,4.538418,0.734273,8.879365,9.998976,-4.563644,0.714264,-8.907227,9.975507,-4.50618,0.752564,-8.852158,10.028914,-4.538506,0.733414,-8.88089,9.999007,0.0079,0.006403,0.009735,0.008925,-0.02649,-0.110471,-0.156414,SITTING
-4.532899,0.730874,-8.87816,9.995162,0.008033,0.010871,0.013079,0.012478,4.532906,0.730955,8.878169,9.99517,-4.551666,0.714264,-8.90004,9.969075,-4.515762,0.757355,-8.849762,10.021671,-4.532517,0.728622,-8.878494,9.996981,0.006575,0.00895,0.01102,0.010552,-0.013698,-0.233455,0.028634,SITTING
-4.527391,0.733795,-8.886204,10.000029,0.011311,0.011007,0.01223,0.012968,4.527405,0.733878,8.886212,10.000037,-4.551666,0.707077,-8.916809,9.964786,-4.484634,0.762146,-8.859345,10.029134,-4.526527,0.733414,-8.888077,10.001047,0.00771,0.008747,0.009966,0.009948,-0.108882,0.198957,0.232551,SITTING
